ccq_builds_in_sonar_period,sonar_start_date,sonar_end_date,sonar_duration,project,median_bugs,median_vulnerabilities,median_code_smells,median_sqale_index,median_sqale_ratio,median_duplicated_lines_density,median_coverage,median_ncloc,last_ncloc,max_ncloc,median_bugs_density,median_vulnerabilities_density,median_code_smells_density,median_ci_time_running,max_ci_time_running,median_ci_duration,max_ci_duration,median_ci_time_to_fix,max_ci_time_to_fix,ci_builds_failures,ci_builds_in_sonar_period,ci_builds_total_activity_days,ccq_ratio_activity,ci_builds_activity,commits_activity,cov_quantile,citime_quantile,time_to_fix_quantile,ci_activity_quantile
224,2019-02-01T14:54:09+0100,2019-07-17T10:03:18+0200,165,exasol/virtual-schema-common-java,0,0,0,0,0,0,88,4741,4748,4748,0,0,0,156,451,155,451,1579,249570,36,362,57,1.61607142857143,0.345454545454545,0,3,2,2,2
176,2018-10-26T13:08:27+0200,2019-07-18T16:01:34+0200,265,CJSCommonPlatform/framework-generators,8,0,54.5,617,0.2,1.1,83.8,9742,10574,10574,0.000821186614658181,0,0.00544417791251539,547,1567,544.5,1567,993,101273,22,492,81,2.79545454545455,0.305660377358491,0,3,4,1,2
64,2019-05-01T00:21:29+0200,2019-07-07T19:39:17+0200,67,eskaton/asn4j,0.5,5.5,248,2974,0.55,1.1,50.9,18206.5,19221,19221,2.81928390188892e-05,0.000310121229207781,0.0136320738811173,142,272,142,272,2167.5,95462,9,120,38,1.875,0.567164179104478,0,1,1,2,3
296,2017-09-16T12:51:46+0200,2019-07-29T22:00:53+0200,681,VocabHunter/vocabhunter,0,0,19,2337,1,0,89.6,7748,8371,8371,0,0,0.00245161290322581,467,1247,464,1247,2259,699862,7,369,152,1.24662162162162,0.223201174743025,0,4,4,3,2
32,2019-06-26T01:01:25+0200,2019-07-14T12:15:53+0200,18,lheydel/manguru-back,0,0,0,0,0,0,38.85,106,327,327,0,0,0,165,368,165,368,952,2098,6,35,8,1.09375,0.444444444444444,0,1,2,1,3
224,2018-11-27T15:31:50+0100,2019-07-16T13:09:42+0200,230,molgenis/molgenis,0,0,993.5,14780.5,0.5,0.65,63.15,92361.5,97427,97427,0,0,0.0106599718904186,830,3000,1399,4799,2723,210115,191,1679,212,7.49553571428571,0.921739130434783,0,2,4,3,4
240,2017-08-15T15:24:29+0200,2019-07-12T10:18:04+0200,695,CJSCommonPlatform/jsonschema-pojo-generator,0,0,0,0,0,0,97.7,4380,4473,4473,0,0,0,137,999,136.5,999,2196,590652,18,856,81,3.56666666666667,0.116546762589928,0,4,1,3,1
176,2018-06-25T05:45:25+0200,2019-07-22T04:31:04+0200,391,KengoTODA/guava-helper-for-java-8,0,0,26,670,2.3,0,80.4,955,814,814,0,0,0.0270833333333333,133,379,132,379,22.5,36,3,213,55,1.21022727272727,0.140664961636829,0,3,1,1,1
200,2017-11-23T16:20:56+0100,2019-07-11T17:40:14+0200,595,CJSCommonPlatform/json-schema-catalog,0,0,6,60,0.1,0.7,88,1593,1694,1694,0,0,0.00376647834274953,141,563,140.5,563,333.5,71910,23,372,52,1.86,0.0873949579831933,0,3,1,1,1
64,2018-11-29T01:20:35+0100,2019-06-25T17:05:11+0200,208,roysanchez/ServForOracle.NetCore,0,0,20,99.5,0.1,0,0,2587.5,3011,3011,0,0,0.00704531622083163,192,462,192,462,19602,229921,26,185,45,2.890625,0.216346153846154,0,1,2,4,2
152,2017-08-14T12:41:45+0200,2019-07-11T17:17:00+0200,696,CJSCommonPlatform/generator-maven-plugin,0,0,3,35,0.1,0,79.1,1289,1394,1394,0,0,0.00243506493506494,150,452,150,452,595,1101,5,211,37,1.38815789473684,0.0531609195402299,0,3,2,1,1
336,2018-01-15T17:01:20+0100,2019-07-11T16:25:51+0200,541,CJSCommonPlatform/framework-api,0,0,29,287,0.5,0,57.8,2018.5,2428,2428,0,0,0.0145379023883697,142,801,141,801,711,86262,23,539,96,1.60416666666667,0.177449168207024,0,2,1,1,1
296,2018-06-29T17:00:37+0200,2019-07-30T14:38:05+0200,395,hmcts/bulk-scan-processor,0,0,16,90,0.1,0.3,88.7,3446,5552,5552,0,0,0.00493522516964837,456,2969,450,2969,1631,232927,88,1609,125,5.43581081081081,0.316455696202532,0,3,4,2,2
96,2019-03-19T00:15:07+0100,2019-07-09T06:56:16+0200,112,pavru/lomout,0,0,2,10,0,0,83.5,8619.5,10847,10847,0,0,0.000174808705913794,436.5,958,435,1309,4570.5,221296,48,159,23,1.65625,0.205357142857143,0,3,4,3,1
528,2018-01-18T14:34:41+0100,2019-07-17T08:53:07+0200,544,sflpro/notifier,8,5,86,5044,1.2,4.6,0,13800,18539,18539,0.000579710144927536,0.00036231884057971,0.00623188405797101,311,896,304,896,2051,529218,131,732,66,1.38636363636364,0.121323529411765,0,1,3,2,1
